iteration,az_wins,d3qn_wins,draws,win_rate,draw_rate,loss_rate,az_p1_wins,az_p2_wins
132,0,0,20,0.0,1.0,0.0,0,0
133,0,0,20,0.0,1.0,0.0,0,0
134,10,0,10,0.5,0.5,0.0,0,10
135,20,0,0,1.0,0.0,0.0,10,10
136,0,0,20,0.0,1.0,0.0,0,0
137,10,10,0,0.5,0.0,0.5,0,10
138,0,0,20,0.0,1.0,0.0,0,0
139,20,0,0,1.0,0.0,0.0,10,10
140,0,0,20,0.0,1.0,0.0,0,0
141,10,0,10,0.5,0.5,0.0,10,0
142,20,0,0,1.0,0.0,0.0,10,10
143,20,0,0,1.0,0.0,0.0,10,10
144,20,0,0,1.0,0.0,0.0,10,10
145,10,0,10,0.5,0.5,0.0,10,0
146,10,0,10,0.5,0.5,0.0,10,0
147,10,0,10,0.5,0.5,0.0,10,0
148,10,0,10,0.5,0.5,0.0,0,10
149,0,0,20,0.0,1.0,0.0,0,0
150,20,0,0,1.0,0.0,0.0,10,10
151,0,0,20,0.0,1.0,0.0,0,0
152,20,0,0,1.0,0.0,0.0,10,10
153,10,0,10,0.5,0.5,0.0,0,10
154,10,0,10,0.5,0.5,0.0,10,0
155,0,0,20,0.0,1.0,0.0,0,0
156,10,0,10,0.5,0.5,0.0,0,10
157,10,0,10,0.5,0.5,0.0,0,10
158,10,0,10,0.5,0.5,0.0,0,10
159,20,0,0,1.0,0.0,0.0,10,10
160,10,0,10,0.5,0.5,0.0,0,10
161,10,0,10,0.5,0.5,0.0,0,10
162,10,0,10,0.5,0.5,0.0,0,10
163,20,0,0,1.0,0.0,0.0,10,10
164,10,0,10,0.5,0.5,0.0,0,10
165,20,0,0,1.0,0.0,0.0,10,10
166,10,0,10,0.5,0.5,0.0,10,0
167,20,0,0,1.0,0.0,0.0,10,10
168,10,0,10,0.5,0.5,0.0,0,10
169,20,0,0,1.0,0.0,0.0,10,10
170,10,0,10,0.5,0.5,0.0,0,10
171,10,0,10,0.5,0.5,0.0,0,10
172,10,0,10,0.5,0.5,0.0,10,0
173,10,0,10,0.5,0.5,0.0,0,10
174,20,0,0,1.0,0.0,0.0,10,10
175,0,0,20,0.0,1.0,0.0,0,0
176,20,0,0,1.0,0.0,0.0,10,10
177,10,0,10,0.5,0.5,0.0,0,10
178,20,0,0,1.0,0.0,0.0,10,10
179,20,0,0,1.0,0.0,0.0,10,10
180,20,0,0,1.0,0.0,0.0,10,10
181,10,0,10,0.5,0.5,0.0,0,10
182,20,0,0,1.0,0.0,0.0,10,10
183,10,0,10,0.5,0.5,0.0,0,10
184,0,0,20,0.0,1.0,0.0,0,0
185,20,0,0,1.0,0.0,0.0,10,10
186,20,0,0,1.0,0.0,0.0,10,10
187,10,0,10,0.5,0.5,0.0,10,0
188,10,0,10,0.5,0.5,0.0,0,10
189,20,0,0,1.0,0.0,0.0,10,10
190,20,0,0,1.0,0.0,0.0,10,10
191,10,0,10,0.5,0.5,0.0,0,10
192,10,0,10,0.5,0.5,0.0,0,10
193,10,0,10,0.5,0.5,0.0,0,10
194,10,0,10,0.5,0.5,0.0,0,10
195,10,0,10,0.5,0.5,0.0,0,10
196,20,0,0,1.0,0.0,0.0,10,10
197,0,0,20,0.0,1.0,0.0,0,0
198,0,0,20,0.0,1.0,0.0,0,0
199,10,0,10,0.5,0.5,0.0,0,10
200,10,0,10,0.5,0.5,0.0,0,10
201,20,0,0,1.0,0.0,0.0,10,10
202,0,0,20,0.0,1.0,0.0,0,0
203,0,0,20,0.0,1.0,0.0,0,0
204,10,0,10,0.5,0.5,0.0,0,10
205,10,0,10,0.5,0.5,0.0,0,10
206,20,0,0,1.0,0.0,0.0,10,10
207,20,0,0,1.0,0.0,0.0,10,10
208,20,0,0,1.0,0.0,0.0,10,10
209,20,0,0,1.0,0.0,0.0,10,10
210,10,0,10,0.5,0.5,0.0,0,10
211,0,0,20,0.0,1.0,0.0,0,0
212,20,0,0,1.0,0.0,0.0,10,10
213,20,0,0,1.0,0.0,0.0,10,10
214,20,0,0,1.0,0.0,0.0,10,10
215,10,0,10,0.5,0.5,0.0,10,0
216,10,0,10,0.5,0.5,0.0,0,10
217,20,0,0,1.0,0.0,0.0,10,10
218,0,0,20,0.0,1.0,0.0,0,0
219,10,0,10,0.5,0.5,0.0,10,0
220,10,0,10,0.5,0.5,0.0,0,10
221,20,0,0,1.0,0.0,0.0,10,10
222,20,0,0,1.0,0.0,0.0,10,10
223,20,0,0,1.0,0.0,0.0,10,10
224,10,0,10,0.5,0.5,0.0,0,10
225,20,0,0,1.0,0.0,0.0,10,10
226,20,0,0,1.0,0.0,0.0,10,10
227,0,0,20,0.0,1.0,0.0,0,0
228,0,0,20,0.0,1.0,0.0,0,0
229,20,0,0,1.0,0.0,0.0,10,10
