iteration,timestamp,p1_wins,p2_wins,draws,p1_win_rate,p2_win_rate,draw_rate,avg_game_length,buffer_size,total_loss,value_loss,policy_loss,elapsed_time_s
170,2026-01-03 23:48:41,2,3,15,0.1,0.15,0.75,79.0,42568,0.8737932085990906,0.09077226892113685,0.8511001348495484,826.1409347057343
171,2026-01-04 00:02:45,2,4,14,0.1,0.2,0.7,76.2,44092,0.8431957066059113,0.09480418339371681,0.8194946587085724,841.5893511772156
172,2026-01-04 00:14:45,3,4,13,0.15,0.2,0.65,70.55,45503,0.8641887664794922,0.09560751840472222,0.8402868866920471,720.0055236816406
173,2026-01-04 00:29:25,1,3,16,0.05,0.15,0.8,81.7,47137,0.8602946937084198,0.0918410748243332,0.8373344242572784,879.5952541828156
174,2026-01-04 00:43:00,2,2,16,0.1,0.1,0.8,79.25,48722,0.8640344738960266,0.10241722613573075,0.8384301662445068,814.8010666370392
175,2026-01-04 00:59:03,2,4,14,0.1,0.2,0.7,76.5,50000,0.8626641392707824,0.10536104738712311,0.8363238751888276,963.4942667484283
176,2026-01-04 02:06:30,0,1,15,0.0,0.0625,0.9375,90.0,50000,0.8601606667041779,0.098067407310009,0.8356438159942627,1036.9658551216125
177,2026-01-04 02:20:15,0,3,13,0.0,0.1875,0.8125,79.125,50000,0.8358299911022187,0.10603604391217232,0.8093209803104401,824.4245517253876
178,2026-01-04 02:35:57,0,1,15,0.0,0.0625,0.9375,87.9375,50000,0.8672710478305816,0.10795474722981453,0.8402823686599732,941.8476593494415
179,2026-01-04 02:52:55,1,0,15,0.0625,0.0,0.9375,91.5,50000,0.8838603675365448,0.11353959962725639,0.8554754674434661,1017.752658367157
180,2026-01-04 03:10:06,1,1,14,0.0625,0.0625,0.875,86.4375,50000,0.8839299380779266,0.10339481905102729,0.8580812275409698,1031.776272535324
181,2026-01-04 03:31:07,0,1,15,0.0,0.0625,0.9375,89.6875,50000,0.8695049405097961,0.10142306536436081,0.8441491782665252,1257.0397679805756
