Episode,Side,Opponent,Result,Reward,Steps,P1_WinRate,P2_WinRate,vsRandom_WinRate,Loss,Epsilon,LR,MaxQ,AvgQ
490,Red (P1),Random,WIN ,1.0230,40,32.0,29.0,51.0,0.00062,0.3657,5.00e-06,0.00,0.00
500,Red (P1),Pool: gen8_titan.pth,LOSS,-0.0260,40,33.0,30.0,52.0,0.00064,0.3650,5.00e-06,1.98,0.75
510,Blk (P2),Random,WIN ,0.9070,157,35.0,31.0,52.0,0.00064,0.3643,5.00e-06,0.00,0.00
520,Red (P1),Self-Play,WIN ,0.8790,199,35.0,31.0,52.0,0.00065,0.3636,5.00e-06,0.00,0.00
530,Blk (P2),Random,LOSS,-0.0390,74,38.0,32.0,53.0,0.00066,0.3629,5.00e-06,0.00,0.00
540,Blk (P2),Random,WIN ,1.0170,47,39.0,30.0,53.0,0.00066,0.3622,5.00e-06,0.00,0.00
550,Blk (P2),Self-Play,LOSS,-0.0180,60,39.0,30.0,54.0,0.00059,0.3615,5.00e-06,2.10,0.83
560,Red (P1),Random,WIN ,1.0200,36,42.0,31.0,55.0,0.00061,0.3608,5.00e-06,0.00,0.00
570,Blk (P2),Pool: gen8_mirror.pth,LOSS,-0.0300,100,42.0,32.0,56.0,0.00064,0.3601,5.00e-06,0.00,0.00
580,Blk (P2),Random,WIN ,1.0220,35,41.0,33.0,57.0,0.00061,0.3594,5.00e-06,0.00,0.00
590,Blk (P2),Random,WIN ,1.0150,34,39.0,33.0,56.0,0.00064,0.3587,5.00e-06,0.00,0.00
600,Red (P1),Pool: gen8_mirror.pth,LOSS,-0.0390,47,40.0,34.0,58.0,0.00066,0.3580,5.00e-06,2.26,0.90
610,Red (P1),Random,WIN ,1.0030,61,42.0,35.0,59.0,0.00067,0.3573,5.00e-06,0.00,0.00
620,Blk (P2),Random,LOSS,-0.0010,37,43.0,34.0,59.0,0.00069,0.3566,5.00e-06,0.00,0.00
630,Red (P1),Random,WIN ,1.0020,55,44.0,34.0,62.0,0.00073,0.3559,5.00e-06,0.00,0.00
640,Red (P1),Random,LOSS,-0.0150,50,44.0,34.0,61.0,0.00074,0.3552,5.00e-06,0.00,0.00
650,Blk (P2),Random,LOSS,-0.0380,94,43.0,33.0,60.0,0.00075,0.3545,5.00e-06,2.43,0.97
660,Red (P1),Pool: gen8_mirror.pth,LOSS,-0.0390,60,45.0,34.0,61.0,0.00077,0.3538,5.00e-06,0.00,0.00
670,Blk (P2),Random,LOSS,-0.0120,40,46.0,35.0,63.0,0.00079,0.3531,5.00e-06,0.00,0.00
680,Blk (P2),Pool: gen9_champion.pth,LOSS,-0.0750,152,47.0,37.0,65.0,0.00080,0.3524,5.00e-06,0.00,0.00
690,Blk (P2),Self-Play,LOSS,-0.0510,114,49.0,37.0,65.0,0.00081,0.3517,5.00e-06,0.00,0.00
700,Red (P1),Pool: gen8_titan.pth,DRAW,-0.4440,500,48.0,36.0,65.0,0.00089,0.3510,5.00e-06,2.63,1.06
710,Red (P1),Pool: gen8_mirror.pth,LOSS,-0.0160,44,47.0,35.0,63.0,0.00083,0.3503,5.00e-06,0.00,0.00
720,Red (P1),Random,WIN ,1.0260,44,46.0,35.0,59.0,0.00080,0.3496,5.00e-06,0.00,0.00
730,Blk (P2),Pool: gen8_titan.pth,LOSS,-0.0420,42,45.0,38.0,60.0,0.00080,0.3489,5.00e-06,0.00,0.00
740,Blk (P2),Random,WIN ,0.9800,91,44.0,39.0,61.0,0.00082,0.3482,5.00e-06,0.00,0.00
750,Blk (P2),Random,WIN ,0.9430,121,43.0,38.0,62.0,0.00082,0.3475,5.00e-06,2.75,1.11
760,Red (P1),Pool: gen9_titan.pth,LOSS,-0.0560,97,43.0,37.0,58.0,0.00090,0.3468,5.00e-06,0.00,0.00
770,Blk (P2),Pool: gen8_mirror.pth,LOSS,-0.0050,40,42.0,38.0,59.0,0.00085,0.3461,5.00e-06,0.00,0.00
780,Blk (P2),Pool: gen9_champion.pth,LOSS,-0.0210,56,41.0,38.0,61.0,0.00092,0.3454,5.00e-06,0.00,0.00
790,Red (P1),Random,LOSS,-0.0120,40,42.0,37.0,62.0,0.00090,0.3447,5.00e-06,0.00,0.00
800,Blk (P2),Pool: gen8_mirror.pth,LOSS,-0.0190,68,43.0,38.0,60.0,0.00096,0.3440,5.00e-06,2.93,1.16
810,Red (P1),Random,WIN ,1.0290,50,43.0,38.0,59.0,0.00099,0.3433,5.00e-06,0.00,0.00
820,Red (P1),Self-Play,WIN ,1.0070,43,41.0,39.0,59.0,0.00093,0.3426,5.00e-06,0.00,0.00
830,Red (P1),Random,WIN ,1.0210,43,42.0,40.0,60.0,0.00102,0.3419,5.00e-06,0.00,0.00
840,Blk (P2),Random,LOSS,-0.0250,32,42.0,40.0,59.0,0.00107,0.3412,5.00e-06,0.00,0.00
850,Red (P1),Random,WIN ,0.9620,109,42.0,41.0,59.0,0.00118,0.3405,5.00e-06,3.14,1.22
860,Red (P1),Self-Play,WIN ,1.0090,55,42.0,42.0,58.0,0.00123,0.3398,5.00e-06,0.00,0.00
870,Blk (P2),Random,WIN ,0.9900,81,42.0,43.0,56.0,0.00116,0.3391,5.00e-06,0.00,0.00
880,Red (P1),Pool: gen9_champion.pth,LOSS,-0.2120,254,40.0,45.0,57.0,0.00123,0.3384,5.00e-06,0.00,0.00
890,Red (P1),Random,WIN ,0.9780,93,39.0,45.0,58.0,0.00116,0.3377,5.00e-06,0.00,0.00
900,Red (P1),Pool: gen9_titan.pth,LOSS,-0.0170,66,39.0,46.0,59.0,0.00124,0.3370,5.00e-06,3.38,1.29
910,Red (P1),Random,WIN ,1.0230,41,40.0,44.0,60.0,0.00128,0.3363,5.00e-06,0.00,0.00
920,Red (P1),Random,WIN ,1.0090,55,40.0,42.0,61.0,0.00132,0.3356,5.00e-06,0.00,0.00
930,Red (P1),Random,WIN ,0.9730,105,44.0,42.0,63.0,0.00143,0.3349,5.00e-06,0.00,0.00
